,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
99697,RSrBPqSze2HJkx5DZsm7FA,Mulligans,9403 E Golf Links Rd,Tucson,AZ,85730,32.1921942,-110.7912409,3.5,85,1,"{'BikeParking': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'Smoking': ""u'outdoor'"", 'GoodForDancing': 'False', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""u'free'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'Caters': 'True', 'ByAppointmentOnly': 'False', 'HappyHour': 'True', 'Music': ""{u'dj': False, u'live': False, u'jukebox': True, u'video': False, u'background_music': False, u'karaoke': False, u'no_music': False}"", 'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'CoatCheck': 'False', 'BestNights': ""{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}""}","Nightlife, Bars, Burgers, Restaurants, Sports Bars, Chicken Wings, American (New)","{'Monday': '0:0-0:0', 'Tuesday': '14:0-0:0', 'Wednesday': '14:0-0:0', 'Thursday': '14:0-0:0', 'Friday': '12:0-1:0', 'Saturday': '12:0-1:0', 'Sunday': '12:0-0:0'}"
55190,LLx6iXXDWz205YXs6Puzdg,McDonald's,3232 N Campbell Ave,Tucson,AZ,85719,32.2657295301,-110.9433605522,2.0,57,1,"{'Alcohol': ""'none'"", 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'HasTV': 'True', 'WiFi': ""'free'"", 'DriveThru': 'True'}","Food, Burgers, Restaurants, Coffee & Tea, Fast Food","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
38620,20m52kISMU-pXPGDIuez2Q,Epazote Kitchen & Cocktails,10000 N Oracle Rd,Tucson,AZ,85704,32.3857329242,-110.9566569328,3.5,80,1,"{'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'free'"", 'HappyHour': 'False', 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}"", 'BusinessAcceptsBitcoin': 'False', 'Ambience': ""{'touristy': None, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': True, 'casual': True}"", 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'Caters': 'False', 'RestaurantsPriceRange2': '3', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': False}""}","American (New), Cocktail Bars, Restaurants, Nightlife, Mexican, New Mexican Cuisine, Tex-Mex, Bars, Wine Bars","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}"
79003,ijRJToHha_hzjSw3aod9HQ,Subway,"1503 W Saint Mary's Rd, Ste A-1",Tucson,AZ,85745,32.2287327738,-110.9969680494,3.0,7,1,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'RestaurantsTableService': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'Caters': 'False', 'RestaurantsTakeOut': 'True'}","Fast Food, Restaurants, Sandwiches","{'Monday': '0:0-0:0', 'Tuesday': '8:0-20:30', 'Wednesday': '8:0-20:30', 'Thursday': '8:0-20:30', 'Friday': '8:0-20:30', 'Saturday': '8:0-20:30', 'Sunday': '8:0-20:30'}"
74612,KJibkIOx_vZxq1ZHhtLTCg,KG's Westside Cafe,1951 W Grant Rd,Tucson,AZ,85745,32.250252,-111.009193,4.0,105,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': None, 'breakfast': True}"", 'RestaurantsDelivery': 'True', 'Caters': 'False', 'HasTV': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}""}","Diners, Breakfast & Brunch, Restaurants","{'Monday': '6:0-14:0', 'Tuesday': '6:0-14:0', 'Wednesday': '6:0-14:0', 'Thursday': '6:0-14:0', 'Friday': '6:0-14:0', 'Saturday': '6:0-14:0', 'Sunday': '6:0-14:0'}"
32504,sl8Q0WCneZskxJE9DFiCcw,Burger King,3485 E Ajo Way,Tucson,AZ,85713,32.1784059737,-110.9181573323,4.0,6,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'RestaurantsGoodForGroups': 'False', 'BikeParking': 'False', 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'False'}","Burgers, Fast Food, Restaurants","{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '8:0-23:59', 'Sunday': '7:0-22:0'}"
5865,7OrS8FzIChQmkVgTxOew6w,El Sur Restaurant,4602 E 29th St,Tucson,AZ,85711,32.1992569,-110.8941321,4.5,28,0,"{'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True', 'HappyHour': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}""}","Restaurants, Mexican","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0'}"
40776,Nz5eRRkTK1RGEjUlJojRQQ,El Taco Tote,1340 N Wilmot Rd,Tucson,AZ,85712,32.2390688,-110.8574843,4.0,209,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'WiFi': ""'no'"", 'Caters': 'True', 'Alcohol': ""u'beer_and_wine'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'HappyHour': 'True', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BikeParking': 'True'}","Restaurants, Mexican","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-23:0', 'Saturday': '10:30-23:0', 'Sunday': '10:30-22:0'}"
93001,KISVq91dUQLa75m8IqY66g,Americano Mexicano,"800 E University Blvd, Ste 104",Tucson,AZ,85719,32.2315439,-110.959311,3.0,51,0,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'"", 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'OutdoorSeating': 'True', 'HasTV': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTableService': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'RestaurantsReservations': 'True', 'HappyHour': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'DogsAllowed': 'True', 'DriveThru': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2'}","Fruits & Veggies, Mexican, Restaurants, Specialty Food, Ethnic Food, Bars, Nightlife, Cocktail Bars, Juice Bars & Smoothies, Food, Food Stands","{'Monday': '11:0-20:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-20:0'}"
122280,G98s4QCjcSRLsr9FSJ7qWQ,The Horseshoe Grill,7713 E Broadway Blvd,Tucson,AZ,85710,32.2225669644,-110.8268091828,3.5,358,1,"{'BusinessAcceptsBitcoin': 'False', 'WiFi': ""u'no'"", 'RestaurantsAttire': ""'casual'"", 'HasTV': 'True', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'True', 'Alcohol': ""u'full_bar'"", 'Corkage': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'OutdoorSeating': 'True', 'BYOB': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'HappyHour': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTakeOut': 'True'}","Steakhouses, Barbeque, Chicken Wings, Restaurants, Chicken Shop","{'Monday': '0:0-0:0', 'Tuesday': '12:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:30', 'Saturday': '12:0-21:30', 'Sunday': '12:0-20:0'}"
