,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
49630,LwNtL2KiLzKYudgMQ2iYXw,Jersey Mike's Subs,"11167 Park Blvd, Ste F",Seminole,FL,33772,27.8413161,-82.7940718,3.0,14,1,"{'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'False', 'RestaurantsDelivery': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'GoodForKids': 'True'}","Fast Food, Restaurants, Sandwiches, Delis","{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-19:0'}"
117413,jHtqYimdAVzlZEtmmoLY7w,211,211 N Tampa St,Tampa,FL,33602,27.9459679076,-82.4575900706,3.5,32,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'WiFi': ""'paid'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsReservations': 'True', 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HappyHour': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}""}","Restaurants, American (New)","{'Monday': '17:30-22:0', 'Tuesday': '17:30-22:0', 'Wednesday': '17:30-22:0', 'Thursday': '17:30-22:0', 'Friday': '17:30-22:0', 'Saturday': '17:30-22:0', 'Sunday': '17:30-22:0'}"
109469,hAvgXT37uaQBfFmSjBPxEA,Cheer Counseling,339 E Robertson St,Brandon,FL,33511,27.956046,-82.3126294,1.0,5,0,{'ByAppointmentOnly': 'False'},"Professional Services, Health & Medical, Restaurants, Barbeque, Web Design, Counseling & Mental Health, Pizza","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '10:0-16:0'}"
54424,MoGdRI5ZTDr-Hg2lubA4LA,Jo Jo’s Italian Diner,217 S Pinellas Ave,Tarpon Springs,FL,34689,28.1446656555,-82.7564997768,4.5,47,1,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True'}","Italian, Soup, Salad, Restaurants","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}"
115473,yK0deBBwOwt9s26097XqoQ,Molly Malone's Irish Pub,"304 E Davis Blvd, Ste E",Tampa,FL,33606,27.9254816,-82.453146,4.0,58,1,"{'HasTV': 'True', 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'WiFi': ""'no'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': True}"", 'BusinessAcceptsCreditCards': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'OutdoorSeating': 'True', 'Ambience': ""{u'divey': False, u'hipster': None, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}""}","Nightlife, Irish Pub, Restaurants, Bars, Irish","{'Tuesday': '7:0-3:0', 'Wednesday': '7:0-3:0', 'Thursday': '7:0-3:0', 'Friday': '7:0-3:0', 'Saturday': '7:0-3:0', 'Sunday': '7:0-3:0'}"
60188,eYxWc-uF4R4ZqyDXkALpKw,Soho Tavern,2221 W Platt St,Tampa,FL,33606,27.9420657,-82.4827588,3.5,25,0,"{'GoodForKids': 'False', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'HasTV': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'loud'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True'}","American (New), Bars, Nightlife, Pubs, Restaurants","{'Monday': '17:0-2:0', 'Tuesday': '17:0-2:0', 'Wednesday': '23:30-3:0', 'Thursday': '23:30-3:0', 'Friday': '23:30-3:0', 'Saturday': '23:30-3:0', 'Sunday': '23:30-3:0'}"
65707,CqkMK7o0sWCKulu_rSdSbA,Panda Hut,"1441 E Fletcher Ave, Ste 115",Tampa,FL,33612,28.0688059,-82.4437847,4.5,46,0,"{'RestaurantsAttire': ""'casual'"", 'WiFi': ""u'free'"", 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'False', 'HasTV': 'False', 'Alcohol': ""'none'"", 'RestaurantsTakeOut': 'False', 'Caters': 'False', 'RestaurantsDelivery': 'False', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'False', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""'average'"", 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'DogsAllowed': 'False'}","Chinese, Hot Pot, Szechuan, Restaurants","{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}"
2289,76x9L8ZBoF4skcNP8wx4nw,Hirois Ocean Grill,"27001 US 19 N, Suite 1071",Clearwater,FL,33761,28.0163208421,-82.7355802059,4.0,6,0,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'False', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Japanese, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-19:0'}"
80933,oY7Ys1bgymDCpv_y055y8w,Bagels Plus,2706 E Fletcher Ave,Tampa,FL,33613,28.0695359,-82.4286123,4.5,243,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'DogsAllowed': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'False', 'RestaurantsTakeOut': 'True'}","Bagels, Restaurants, Food","{'Monday': '6:0-17:0', 'Tuesday': '6:0-17:0', 'Wednesday': '6:0-17:0', 'Thursday': '6:0-17:0', 'Friday': '6:0-17:0', 'Saturday': '6:0-17:0', 'Sunday': '7:0-15:0'}"
30831,Rq3Wjcg5ULV2yn-AwcmirA,McDonald's,4009 N Armenia,Tampa,FL,33607,27.9747894412,-82.4844383402,2.0,18,1,"{'DriveThru': 'True', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Restaurants, Coffee & Tea, Food, Burgers, Fast Food","{'Monday': '5:0-0:0', 'Tuesday': '5:0-0:0', 'Wednesday': '5:0-0:0', 'Thursday': '5:0-0:0', 'Friday': '5:0-0:0', 'Saturday': '5:0-0:0', 'Sunday': '5:0-0:0'}"
