,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
58947,Trbe4JX-oLHrrVVPcv0wog,Broussard's,819 Conti St,New Orleans,LA,70112,29.956633,-90.068074,4.0,653,1,"{'RestaurantsDelivery': 'False', 'BikeParking': 'False', 'Caters': 'True', 'RestaurantsTakeOut': 'False', 'Alcohol': ""u'full_bar'"", 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '3', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'dressy'"", 'HappyHour': 'True', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}"", 'NoiseLevel': ""'average'"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': True, 'lot': False, 'valet': True}"", 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': True, 'breakfast': None}""}","Seafood, French, Restaurants, Venues & Event Spaces, Event Planning & Services, Cajun/Creole","{'Thursday': '17:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-17:0'}"
98986,lAV4xwSqt4hjhkqY3NZlOQ,Creole Carre',208-10 Bourbon St,New Orleans,LA,70130,29.9549384,-90.0689358,4.0,50,0,"{'Ambience': ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': False}"", 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'False', 'HappyHour': 'True', 'RestaurantsDelivery': 'False', 'WiFi': ""'no'"", 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTableService': 'True'}","Italian, Restaurants, Cajun/Creole, Seafood","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-23:0'}"
72024,loJUJg7ahGYga3EmLabiOA,Rally's,3555 General De Gaulle Dr,New Orleans,LA,70114,29.9246075,-90.0218811,2.0,10,1,"{'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'Caters': 'False', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","Sandwiches, Restaurants, Fast Food, Burgers","{'Monday': '10:0-3:0', 'Tuesday': '10:0-3:0', 'Wednesday': '10:0-3:0', 'Thursday': '10:0-3:0', 'Friday': '10:0-5:0', 'Saturday': '10:0-5:0', 'Sunday': '10:0-3:0'}"
111041,3nYIq4THGUOgQCAF-mkd7w,Mayas,2027 Magazine St,New Orleans,LA,70130,29.9306879,-90.0752968,4.0,258,1,"{'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'WiFi': ""u'free'"", 'BikeParking': 'True', 'GoodForKids': 'False', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsDelivery': 'None', 'HappyHour': 'True'}","Latin American, Restaurants, Cuban, Event Planning & Services, Mexican, Spanish, Caribbean, Venues & Event Spaces, Cajun/Creole","{'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-20:0'}"
12312,f43AIP_4AV2XSng0_LXI_A,Waffle House,2631 General Degaulle Dr,New Orleans,LA,70114,29.9285279,-90.0314964,3.0,31,1,"{'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'no'"", 'Caters': 'False', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}""}","Breakfast & Brunch, American (Traditional), Diners, Restaurants, American (New), Waffles","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
106951,pSgZ6x48zgkbWucfzswkzg,Nomiya,4226 Magazine St,New Orleans,LA,70115,29.9208153,-90.0998143,4.5,258,1,"{'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'BikeParking': 'True', 'GoodForKids': 'False', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'False', 'RestaurantsGoodForGroups': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'WheelchairAccessible': 'False', 'RestaurantsTableService': 'True', 'Ambience': ""{u'divey': False, u'hipster': True, u'casual': True, u'touristy': None, u'trendy': True, u'intimate': None, u'romantic': False, u'classy': False, u'upscale': False}"", 'WiFi': ""u'no'"", 'OutdoorSeating': 'None', 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'None', 'RestaurantsTakeOut': 'None'}","Soul Food, Asian Fusion, Noodles, Restaurants, Japanese, Ramen","{'Monday': '0:0-0:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-21:0'}"
48094,pKvKZCB0fq4KgtK2Pc0yaQ,Budsi's Authentic Thai,1760 N Rampart St,New Orleans,LA,70116,29.9671241,-90.061564,4.5,110,1,"{'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'Ambience': ""{u'divey': None, u'hipster': None, u'casual': None, u'touristy': None, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': None}"", 'HappyHour': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': None, u'validated': None}""}","Soup, Bars, Noodles, Nightlife, Seafood, Restaurants, Thai","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}"
106764,9wFFQUCn1j35CYea_dqhsg,la Madeleine French Bakery & Cafe,601 S Carrollton Ave,New Orleans,LA,70118,29.9430657,-90.1336857,3.0,146,1,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'HasTV': 'False', 'Caters': 'True', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False', 'Alcohol': ""u'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'False', 'HappyHour': 'False', 'RestaurantsDelivery': 'True'}","Food, Coffee & Tea, Restaurants, Cafes, Breakfast & Brunch, Specialty Food, Sandwiches, Fruits & Veggies, Bakeries, Event Planning & Services, Caterers","{'Monday': '0:0-0:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}"
10486,W5jnx-8xydXZzG_vT5VxGQ,Subway,"2222 Clearview Pkwy, Ste D",Metairie,LA,70001,29.994921,-90.1834077599,2.0,7,1,"{'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'True'}","Specialty Food, Food, Sandwiches, Fruits & Veggies, Fast Food, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}"
10310,VCjvaX_78oEKG3I9oTJEag,Fair Grinds Coffee House,3133 Ponce De Leon St,New Orleans,LA,70119,29.9805971,-90.0841403,4.0,161,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False'}","Coffee & Tea, Restaurants, Food","{'Monday': '6:30-13:0', 'Tuesday': '6:30-13:0', 'Wednesday': '6:30-13:0', 'Thursday': '6:30-13:0', 'Friday': '6:30-15:0', 'Saturday': '6:30-15:0', 'Sunday': '6:30-15:0'}"
