,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
53573,nGe0BipegbPjll9tGM-SWw,Saffire,230 Franklin Rd,Franklin,TN,37064,35.932545,-86.86013,4.0,215,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'RestaurantsReservations': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'Caters': 'True', 'HasTV': 'True', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '3', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}"", 'WiFi': ""u'no'""}","Bars, American (New), Breakfast & Brunch, Lounges, Southern, Irish, Nightlife, Seafood, American (Traditional), Restaurants","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-21:0'}"
115812,MMe-OJeHIgRTulqKPJ-QVg,Subway,"5765 Nolensville Rd, Unit 50",Nashville,TN,37211,36.0468807849,-86.715089712,1.5,7,1,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'True'}","Restaurants, Sandwiches, Fast Food","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '0:0-0:0'}"
54167,T1ujc3o1TVkr0DIc3kCjHQ,Five String Garage,700 Hadley Ave,Old Hickory,TN,37138,36.2638668,-86.6481285,4.5,28,0,"{'OutdoorSeating': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'HappyHour': 'True'}","Nightlife, Music Venues, Cafes, Restaurants, Arts & Entertainment, American (Traditional)","{'Monday': '7:0-14:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '8:0-21:0', 'Sunday': '8:0-14:0'}"
99266,g0k0fm8DTahqMwmFkbtYgA,LongHorn Steakhouse,975 Industrial Blvd,Smyrna,TN,37167,35.9782864552,-86.5670546254,3.5,52,1,"{'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'WiFi': ""u'free'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Barbeque, Beer, Wine & Spirits, Food, Local Flavor, Restaurants, Steakhouses, American (Traditional)","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
37731,2h10228FGBXalIvesfeNQA,Taqueria El Dolar,240 N 1st St,Nashville,TN,37213,36.1767557908,-86.7753467368,4.5,14,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}","Food, Food Trucks, Tacos, Restaurants, Mexican","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-21:0', 'Sunday': '10:0-20:0'}"
12840,XOUCIQtQJq1K_kI1wVCOdA,Cracker Barrel Old Country Store,370 Hester Dr,White House,TN,37188,36.46674,-86.6799127,2.5,57,1,"{'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'very_loud'"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'Caters': 'True', 'WiFi': ""'no'"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Event Planning & Services, Comfort Food, Restaurants, Convenience Stores, American (Traditional), Breakfast & Brunch, Southern, Caterers, Food","{'Monday': '0:0-0:0', 'Tuesday': '6:0-21:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-21:0'}"
1176,RzGr37s8p2ujVuN9of7ksQ,Panaderia La Conchita,4239 Nolensville Pike,Nashville,TN,37211,36.0744978515,-86.7254739712,4.5,44,1,"{'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'False', 'WiFi': ""'no'"", 'RestaurantsTableService': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Bakeries, Food, Latin American, Desserts, Restaurants","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}"
85100,gqq_UziZzsW25cNu6pXvzg,Chuy's,1901 Broadway,Nashville,TN,37203,36.1505758,-86.7964142,3.5,431,1,"{'BikeParking': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForDancing': 'False', 'Ambience': ""{'touristy': None, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'WiFi': ""u'no'"", 'HappyHour': 'True', 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}"", 'RestaurantsTableService': 'True', 'CoatCheck': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': True}"", 'RestaurantsDelivery': 'True'}","Tex-Mex, Salad, Mexican, Restaurants, Bars, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-15:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}"
99170,MVAjzYfdM2zj3GfOD-r2CA,Mac's Cornedbeef,"2940 Murfreesboro Pike, Ste 114",Nashville,TN,37013,36.0627159,-86.6253201,4.0,7,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","Restaurants, Sandwiches, Delis","{'Monday': '16:0-19:0', 'Tuesday': '16:0-19:0', 'Wednesday': '16:0-19:0', 'Thursday': '16:0-19:0', 'Friday': '16:0-20:0'}"
106666,VMRuh0kasOiGAkZ98EFdlA,Carne Mare,300 12th Ave S,Nashville,TN,37203,36.1535427,-86.785381,4.5,20,1,"{'BusinessParking': ""{u'valet': True, u'garage': False, u'street': True, u'lot': False, u'validated': False}"", 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': False, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': True, u'upscale': False}"", 'OutdoorSeating': 'True'}","Italian, Steakhouses, Restaurants","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}"
