,Unnamed: 0,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,total_hrs
6,13309,qKswqEe67vJJSW05W7Rx-A,Mizu,8800 New Falls Rd,Levittown,PA,19054,40.17348,-74.831247,3.0,23,0,"{'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'no'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': True, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'none'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'BikeParking': 'True'}","Thai, Seafood, Fashion, Japanese, Maternity Wear, Shopping, Chinese, Soup, Restaurants","{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-22:0'}",67.0
14,83554,mPec-6ARme_8QAHd7tpJ8g,Cedars Cafe,309 Lancaster Ave,Frazer,PA,19355,40.0396338,-75.5488666,4.5,95,0,"{'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'free'"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}""}","Middle Eastern, Mediterranean, Vegetarian, Restaurants, Lebanese, Vegan","{'Tuesday': '11:0-20:30', 'Wednesday': '11:0-20:30', 'Thursday': '11:0-20:30', 'Friday': '11:0-20:30', 'Saturday': '12:0-20:30'}",46.5
27,23824,MFeyWvjFwApAenNP682JLg,Bawarchi Indian Cuisine Restaurant,79 E Germantown Pike,Norristown,PA,19401,40.1375102,-75.3067611,3.0,8,0,"{'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Alcohol': ""u'none'"", 'WiFi': ""'no'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'""}","Restaurants, Indian","{'Tuesday': '5:30-22:0', 'Wednesday': '5:30-22:0', 'Thursday': '5:30-22:0', 'Friday': '5:30-22:0', 'Saturday': '17:30-21:30', 'Sunday': '17:30-21:30'}",78.0
29,75358,-rBLDkfHNXV8LzofwLcjHw,Tony Luke's,6716 Frankford Ave,Philadelphia,PA,19135,40.0321517,-75.0524823,2.5,20,0,"{'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '3', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True'}","Fast Food, Sandwiches, Hot Dogs, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-22:0'}",81.0
31,14032,GoSVYfBdXuRzRNavZMnRIg,Pure Fire Pizza,30 S High St,West Chester,PA,19382,39.9584649684,-75.6045844684,3.5,10,0,"{'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True'}","Fast Food, Pizza, Restaurants","{'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-21:0'}",65.0
32,40952,KxZKARuVNhISP2zhRl9GaA,Marco's Pizza,606 Macdade Blvd,Folsom,PA,19033,39.882536,-75.337233,4.0,10,0,"{'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'DogsAllowed': 'False', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True'}","Pizza, Restaurants","{'Monday': '11:0-22:30', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-22:30'}",80.5
36,112177,W535RAHI-mlftEIZvKakHg,Romano's Macaroni Grill,640 Commerce Blvd,Fairless Hills,PA,19030,40.1870686,-74.8672062,2.5,89,0,"{'RestaurantsReservations': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'Caters': 'False', 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': None, 'classy': None, 'casual': True}"", 'WiFi': ""'free'"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Restaurants, Italian","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '10:0-22:0'}",90.0
38,13734,3ZynJ94VpIdDlaArmEp2Rg,More Than Just Ice Cream,1119 Locust St,Philadelphia,PA,19107,39.947791,-75.1603392,3.5,239,0,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'HasTV': 'False', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsDelivery': 'True'}","Food, Sandwiches, Ice Cream & Frozen Yogurt, Comfort Food, Breakfast & Brunch, Diners, Restaurants, Desserts","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}",84.0
41,101743,K1h9s1n2679DxUM2cuMZXA,Chestnut Hill Coffee,3300 Henry Ave,Philadelphia,PA,19129,40.011952,-75.1839734,4.5,31,0,"{'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'free'"", 'NoiseLevel': ""u'quiet'"", 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'Caters': 'False', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True'}","Cafes, Food, Restaurants, Coffee & Tea","{'Monday': '7:0-14:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-14:0'}",35.0
43,20118,c1okcAnrDc9jIy3DbOUbqQ,Grapevine Cuisine,"84 W Lancaster Ave, Ste B",Downingtown,PA,19335,40.0035756,-75.7079609,4.0,97,0,"{'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'Alcohol': ""'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'HasTV': 'False', 'NoiseLevel': ""'average'"", 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Restaurants, Greek","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",62.0
